author_1_name,author_2_name,year,collaboration_count
"Doroudi, S.","Wei, S.",2026,9
"Doroudi, S.","Cai, Z.",2026,9
"Cai, Z.","Wei, S.",2026,9
"Blikstein, P.","Sotério, C.",2026,6
"Blikstein, P.","Fuhrmann, T.",2026,6
"Yang, Y.","Sun, D.",2026,6
"Yang, H.","Rachmatullah, A.",2026,5
"Kim, B.","Clyde, J.",2026,4
"Kim, B.","Bastani, R.",2026,4
"Bae, H.","Park, J.",2026,4
"Hong, H.","Chen, M.",2026,4
"Alozie, N.","Rachmatullah, A.",2026,4
"Alozie, N.","Yang, H.",2026,4
"Bastani, R.","Clyde, J.",2026,4
"Rahimi, S.","Esmaeiligoujar, S.",2026,4
"Yoon, S. A.","Noushad, N. F.",2026,4
"Bisht, A.","Huang, Y.",2026,3
"Mahesh, A.","Clark, K. M.",2026,3
"Botelho, A. F.","Zhang, S.",2026,3
"Abdallah, B. Y.","Sherwin, R.",2026,3
"Silvis, D.","Shumway, J.",2026,3
"Silvis, D.","Clarke-Midura, J.",2026,3
"Walton, D.","Park, J.",2026,3
"Walton, D.","Zhao, Y.",2026,3
"Chen, G.","Xin, H.",2026,3
"Chen, G.","Li, K.",2026,3
"Chen, G.","Huang, L.",2026,3
"Chen, G.","Niu, Q.",2026,3
"Chen, G.","Li, S.",2026,3
"Chen, G.","Sun, Y.",2026,3
"Bae, H.","Walton, D.",2026,3
"Bae, H.","Zhao, Y.",2026,3
"Xin, H.","Niu, Q.",2026,3
"Xin, H.","Li, S.",2026,3
"Xin, H.","Sun, Y.",2026,3
"Li, H.","Botelho, A. F.",2026,3
"Li, H.","Zhang, S.",2026,3
"Kang, H.","Bisht, A.",2026,3
"Kang, H.","Santagata, R.",2026,3
"Kang, H.","Gyles, S.",2026,3
"Kang, H.","Huang, Y.",2026,3
"Hong, H.","Guo, C.",2026,3
"Park, J.","Zhao, Y.",2026,3
"Slotta, J. D.","Meng, C.",2026,3
"Lee, J.","Botelho, A. F.",2026,3
"Lee, J.","Li, H.",2026,3
"Lee, J.","Lee, S.",2026,3
"Lee, J.","Zhang, S.",2026,3
"Clarke-Midura, J.","Shumway, J.",2026,3
"Donaldson, J. P.","Mahesh, A.",2026,3
"Donaldson, J. P.","Do, D.",2026,3
"Donaldson, J. P.","Clark, K. M.",2026,3
"Donaldson, J. P.","Girona, L.",2026,3
"Peppler, K.","Dahn, M.",2026,3
"Girona, L.","Mahesh, A.",2026,3
"Girona, L.","Clark, K. M.",2026,3
"Huang, L.","Xin, H.",2026,3
"Huang, L.","Niu, Q.",2026,3
"Huang, L.","Li, S.",2026,3
"Huang, L.","Sun, Y.",2026,3
"Chen, M.","Guo, C.",2026,3
"Noushad, N. F.","LeBovidge, C.",2026,3
"Niu, Q.","Li, S.",2026,3
"Niu, Q.","Sun, Y.",2026,3
"Santagata, R.","Bisht, A.",2026,3
"Santagata, R.","Gyles, S.",2026,3
"Santagata, R.","Huang, Y.",2026,3
"Lee, S.","Botelho, A. F.",2026,3
"Lee, S.","Li, H.",2026,3
"Lee, S.","Zhang, S.",2026,3
"Li, S.","Sun, Y.",2026,3
"Yoon, S. A.","LeBovidge, C.",2026,3
"Gyles, S.","Bisht, A.",2026,3
"Gyles, S.","Huang, Y.",2026,3
"Sedawi, W.","Abdallah, B. Y.",2026,3
"Sedawi, W.","Sherwin, R.",2026,3
"Feng, X.","Sun, D.",2026,3
"Yang, Y.","Feng, X.",2026,3
"Wagh, A.","Eloy, A.",2026,2
"Wagh, A.","Blikstein, P.",2026,2
"Wagh, A.","Fuhrmann, T.",2026,2
"Velayudhan, A.","Singh, A. P.",2026,2
"Barrett, A.","Zhang, N.",2026,2
"Waugh, A.","Branchaw, J. L.",2026,2
"Waugh, A.","Wenderoth, M. P.",2026,2
"Waugh, A.","Ismael, S.",2026,2
"Bicer, A.","Song, D.",2026,2
"Cottone, A. M.","Li, H.",2026,2
"Cottone, A. M.","Wells, R. G.",2026,2
"Cottone, A. M.","Bian, Z.",2026,2
"Brosnihan, A.","Marano, C.",2026,2
"Rachmatullah, A.","Mielicki, M.",2026,2
"Hershkovitz, A.","Shtaingart, E.",2026,2
"Hershkovitz, A.","Sliman, L.",2026,2
"Hershkovitz, A.","Hadar, L.",2026,2
"Hershkovitz, A.","Goldberg, T.",2026,2
"Kim, B.","Poppendorf, A.",2026,2
"Kim, B.","Poppendorf, A.",2026,2
"Kim, B.","Gierus, B.",2026,2
"Litts, B. K.","Morgan, C.",2026,2
"Litts, B. K.","Haws, D.",2026,2
"Litts, B. K.","Quintana, E.",2026,2
"Litts, B. K.","Mills, T.",2026,2
"Guo, C.","Chen, Y.",2026,2
"Guo, C.","Lin, Y.",2026,2
"Seet, C. H.","Chang, C.",2026,2
"Chai, C. S.","Xin, H.",2026,2
"Chai, C. S.","Huang, L.",2026,2
"Chai, C. S.","Niu, Q.",2026,2
"Chai, C. S.","Li, S.",2026,2
"Chai, C. S.","Sun, Y.",2026,2
"Cruz-Gonzalez, C.","Lau, N. G.",2026,2
"Jadallah, C.","Daus, L.",2026,2
"Proctor, C.","Bhatt, V.",2026,2
"Morgan, C.","Haws, D.",2026,2
"Morgan, C.","Quintana, E.",2026,2
"Morgan, C.","Mills, T.",2026,2
"Mouza, C.","Mead, H.",2026,2
"Mouza, C.","Pollock, L.",2026,2
"Hmelo-Silver, C. E.","Hong, D.",2026,2
"LeBovidge, C.","Abidi, H. H.",2026,2
"Chinn, C. A.","Gao, Q.",2026,2
"Chinn, C. A.","Lin, Q.",2026,2
"Chinn, C.","LeBovidge, C.",2026,2
"Rutstein, D.","Rachmatullah, A.",2026,2
"Rutstein, D.","Yang, H.",2026,2
"Rutstein, D.","Mielicki, M.",2026,2
"Rutstein, D.","Alozie, N.",2026,2
"Haws, D.","Quintana, E.",2026,2
"Haws, D.","Mills, T.",2026,2
"Sun, D.","Sun, J.",2026,2
"Cisterna, D.","Lee, J.",2026,2
"Cisterna, D.","Andrews-Todd, J.",2026,2
"Cisterna, D.","Song, Y.",2026,2
