dimension,label_value,paper_count_density,cross_label_centrality,median_density_threshold,median_centrality_threshold,callon_quadrant
conceptualisation,Accountable Talk & Dialogic Discourse,176,47,232,47,"Quadrant III: Basic & Transversal (Low Density, High Centrality)"
conceptualisation,Boundary Crossing & Brokerage,32,40,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
conceptualisation,Classroom Orchestration,59,40,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
conceptualisation,Co-Design & Participatory Design,305,50,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
conceptualisation,Cognitive Load Theory,31,32,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
conceptualisation,Communities of Practice & Situated Learning,75,47,232,47,"Quadrant III: Basic & Transversal (Low Density, High Centrality)"
conceptualisation,Computer-Supported Collaborative Learning (CSCL),535,50,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
conceptualisation,Conceptual Change & Mental Models,69,45,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
conceptualisation,Constructionism & Maker-Centered Learning,207,50,232,47,"Quadrant III: Basic & Transversal (Low Density, High Centrality)"
conceptualisation,Critical Digital Literacy & AI Ethics,38,39,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
conceptualisation,Cultural-Historical Activity Theory (CHAT),110,46,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
conceptualisation,Culturally Sustaining & Decolonial Pedagogies,152,42,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
conceptualisation,Design-Based Research (DBR),222,50,232,47,"Quadrant III: Basic & Transversal (Low Density, High Centrality)"
conceptualisation,Embodied Cognition & Gestures,81,43,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
conceptualisation,Epistemic Network Analysis (ENA),91,41,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
conceptualisation,Funds of Knowledge & Cultural Wealth,23,36,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
