paper_id,year,conference,dimension,hierarchy_level_1,hierarchy_level_2,label_value,centrality_score,confidence,method,status,notes
cscl-volume-2026-paper-0005,2026,CSCL,setting,Setting,Theoretical / Unspecified,Theoretical / Unspecified,,0.5,rule_lexical_0_cost,heuristic_0_cost,Unspecified in abstract; can be resolved via Tier 3 Methods section extraction.
cscl-volume-2026-paper-0005,2026,CSCL,subject,Subject,Interdisciplinary & General,Interdisciplinary & General,1,0.5,rule_lexical_0_cost,heuristic_0_cost,General learning sciences inquiry; can be refined in Phase 2.
cscl-volume-2026-paper-0005,2026,CSCL,tpack_ck,Content Knowledge (CK),Interdisciplinary & General,Interdisciplinary & General,1,0.5,rule_lexical_0_cost,heuristic_0_cost,General learning sciences context; can be refined in Phase 2.
cscl-volume-2026-paper-0005,2026,CSCL,tpack_pk,Pedagogical Knowledge (PK),General / Reflective,General / Reflective,1,0.5,rule_lexical_0_cost,heuristic_0_cost,General instructional setting; can be verified via Tier 2.
cscl-volume-2026-paper-0005,2026,CSCL,tpack_tk,Technology Knowledge (TK),Non-digital / Unspecified,Non-digital / Unspecified,1,0.5,rule_lexical_0_cost,heuristic_0_cost,Non-digital or conceptual paper; can be verified via Tier 2.
cscl-volume-2026-paper-0009,2026,CSCL,conceptualisation,Collaborative & Dialogic,Computer-Supported Collaborative Learning (CSCL),Computer-Supported Collaborative Learning (CSCL),5,0.9,rule_lexical_0_cost,heuristic_0_cost,Hierarchical match in title/abstract; full theoretical framework extractable via Tier 3.
cscl-volume-2026-paper-0009,2026,CSCL,setting,Setting,Theoretical / Unspecified,Theoretical / Unspecified,,0.5,rule_lexical_0_cost,heuristic_0_cost,Unspecified in abstract; can be resolved via Tier 3 Methods section extraction.
cscl-volume-2026-paper-0009,2026,CSCL,subject,Subject,Interdisciplinary & General,Interdisciplinary & General,1,0.5,rule_lexical_0_cost,heuristic_0_cost,General learning sciences inquiry; can be refined in Phase 2.
cscl-volume-2026-paper-0009,2026,CSCL,tpack_ck,Content Knowledge (CK),Interdisciplinary & General,Interdisciplinary & General,1,0.5,rule_lexical_0_cost,heuristic_0_cost,General learning sciences context; can be refined in Phase 2.
cscl-volume-2026-paper-0009,2026,CSCL,tpack_pk,Pedagogical Knowledge (PK),Collaborative & CSCL,Collaborative & CSCL,5,0.9,rule_lexical_0_cost,heuristic_0_cost,Centrality score estimated from title/abstract prominence; can be verified via Tier 2 claim analysis.
cscl-volume-2026-paper-0009,2026,CSCL,tpack_tk,Technology Knowledge (TK),Non-digital / Unspecified,Non-digital / Unspecified,1,0.5,rule_lexical_0_cost,heuristic_0_cost,Non-digital or conceptual paper; can be verified via Tier 2.
cscl-volume-2026-paper-0010,2026,CSCL,conceptualisation,Collaborative & Dialogic,Computer-Supported Collaborative Learning (CSCL),Computer-Supported Collaborative Learning (CSCL),5,0.9,rule_lexical_0_cost,heuristic_0_cost,Hierarchical match in title/abstract; full theoretical framework extractable via Tier 3.
cscl-volume-2026-paper-0010,2026,CSCL,setting,Setting,Online / Hybrid,Online / Hybrid,,0.9,rule_lexical_0_cost,heuristic_0_cost,Extracted via 0-cost title/abstract lexical heuristics; ready for Tier 2 batched LLM claim verification.
cscl-volume-2026-paper-0010,2026,CSCL,subject,Subject,Interdisciplinary & General,Interdisciplinary & General,1,0.5,rule_lexical_0_cost,heuristic_0_cost,General learning sciences inquiry; can be refined in Phase 2.
cscl-volume-2026-paper-0010,2026,CSCL,tpack_ck,Content Knowledge (CK),Interdisciplinary & General,Interdisciplinary & General,1,0.5,rule_lexical_0_cost,heuristic_0_cost,General learning sciences context; can be refined in Phase 2.
cscl-volume-2026-paper-0010,2026,CSCL,tpack_pk,Pedagogical Knowledge (PK),Collaborative & CSCL,Collaborative & CSCL,5,0.9,rule_lexical_0_cost,heuristic_0_cost,Centrality score estimated from title/abstract prominence; can be verified via Tier 2 claim analysis.
cscl-volume-2026-paper-0010,2026,CSCL,tpack_tk,Technology Knowledge (TK),Non-digital / Unspecified,Non-digital / Unspecified,1,0.5,rule_lexical_0_cost,heuristic_0_cost,Non-digital or conceptual paper; can be verified via Tier 2.
cscl-volume-2026-paper-0011,2026,CSCL,conceptualisation,Collaborative & Dialogic,Computer-Supported Collaborative Learning (CSCL),Computer-Supported Collaborative Learning (CSCL),3,0.9,rule_lexical_0_cost,heuristic_0_cost,Hierarchical match in title/abstract; full theoretical framework extractable via Tier 3.
cscl-volume-2026-paper-0011,2026,CSCL,setting,Setting,Theoretical / Unspecified,Theoretical / Unspecified,,0.5,rule_lexical_0_cost,heuristic_0_cost,Unspecified in abstract; can be resolved via Tier 3 Methods section extraction.
cscl-volume-2026-paper-0011,2026,CSCL,subject,Subject,Interdisciplinary & General,Interdisciplinary & General,1,0.5,rule_lexical_0_cost,heuristic_0_cost,General learning sciences inquiry; can be refined in Phase 2.
cscl-volume-2026-paper-0011,2026,CSCL,tpack_ck,Content Knowledge (CK),Interdisciplinary & General,Interdisciplinary & General,1,0.5,rule_lexical_0_cost,heuristic_0_cost,General learning sciences context; can be refined in Phase 2.
cscl-volume-2026-paper-0011,2026,CSCL,tpack_pk,Pedagogical Knowledge (PK),Collaborative & CSCL,Collaborative & CSCL,3,0.9,rule_lexical_0_cost,heuristic_0_cost,Centrality score estimated from title/abstract prominence; can be verified via Tier 2 claim analysis.
cscl-volume-2026-paper-0011,2026,CSCL,tpack_tk,Technology Knowledge (TK),Non-digital / Unspecified,Non-digital / Unspecified,1,0.5,rule_lexical_0_cost,heuristic_0_cost,Non-digital or conceptual paper; can be verified via Tier 2.
cscl-volume-2026-paper-0012,2026,CSCL,conceptualisation,Collaborative & Dialogic,Computer-Supported Collaborative Learning (CSCL),Computer-Supported Collaborative Learning (CSCL),5,0.9,rule_lexical_0_cost,heuristic_0_cost,Hierarchical match in title/abstract; full theoretical framework extractable via Tier 3.
cscl-volume-2026-paper-0012,2026,CSCL,setting,Setting,Higher Education,Higher Education,,0.9,rule_lexical_0_cost,heuristic_0_cost,Extracted via 0-cost title/abstract lexical heuristics; ready for Tier 2 batched LLM claim verification.
cscl-volume-2026-paper-0012,2026,CSCL,subject,Subject,Interdisciplinary & General,Interdisciplinary & General,1,0.5,rule_lexical_0_cost,heuristic_0_cost,General learning sciences inquiry; can be refined in Phase 2.
cscl-volume-2026-paper-0012,2026,CSCL,tpack_ck,Content Knowledge (CK),Interdisciplinary & General,Interdisciplinary & General,1,0.5,rule_lexical_0_cost,heuristic_0_cost,General learning sciences context; can be refined in Phase 2.
cscl-volume-2026-paper-0012,2026,CSCL,tpack_pk,Pedagogical Knowledge (PK),Collaborative & CSCL,Collaborative & CSCL,5,0.9,rule_lexical_0_cost,heuristic_0_cost,Centrality score estimated from title/abstract prominence; can be verified via Tier 2 claim analysis.
cscl-volume-2026-paper-0012,2026,CSCL,tpack_tk,Technology Knowledge (TK),Non-digital / Unspecified,Non-digital / Unspecified,1,0.5,rule_lexical_0_cost,heuristic_0_cost,Non-digital or conceptual paper; can be verified via Tier 2.
cscl-volume-2026-paper-0013,2026,CSCL,conceptualisation,Collaborative & Dialogic,Accountable Talk & Dialogic Discourse,Accountable Talk & Dialogic Discourse,3,0.9,rule_lexical_0_cost,heuristic_0_cost,Hierarchical match in title/abstract; full theoretical framework extractable via Tier 3.
cscl-volume-2026-paper-0013,2026,CSCL,conceptualisation,Collaborative & Dialogic,Epistemic Network Analysis (ENA),Epistemic Network Analysis (ENA),5,0.9,rule_lexical_0_cost,heuristic_0_cost,Hierarchical match in title/abstract; full theoretical framework extractable via Tier 3.
