citing_paper_id,cited_paper_id,citing_year,cited_year,context_snippet,status,notes
proc_isls-2026,cscl-volume-2026-paper-0165,2026,2026,School Grades. In  Proceedings of the 19th International Conference of the Learning Sciences-ICLS,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,icls-volume-2026-paper-0367,2026,2026,non-formal learning contexts. CoReTra has been piloted in an intensive graduate course on the learning sciences;,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,general-volume-2026-paper-062,2026,2026,approach to educational games. In  Emerging technologies for the classroom: A learning sciences,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,general-volume-2026-paper-052,2026,2026,uniquely focuses on the methodological dialogues and tensions emerging in AI-era learning sciences. It moves,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,general-volume-2026-paper-054,2026,2026,A CSCL Taxonomy Building Workshop,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,general-volume-2026-paper-060,2026,2026,STEAM in the Learning Sciences: Foregrounding Heritage,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,icls-volume-2026-paper-0491,2026,2026,quantum information science offers the learning sciences: a domain that pushes us to reconsider our theories of,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,cscl-volume-2026-paper-0120,2026,2026,interaction analysis: A mixed-methods approach to tracing object-based participation in CSCL. In,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,icls-volume-2026-paper-0348,2026,2026,centrally into the AI literacy and human–AI collaboration space within the Learning Sciences and computer-,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,cscl-volume-2026-paper-0165,2026,2026,"Learning. In Proceedings of the 18th International Conference of the Learning Sciences-ICLS 2024, pp.",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,general-volume-2026-paper-062,2026,2026,"IA is a common analytical approach in the Learning Sciences (e.g., Keifert & Stevens, 2019; diSessa et al., 2016;",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,icls-volume-2026-paper-0160,2026,2026,"interactional analyses to examine teacher learning processes. Journal of the Learning Sciences, 29(2).",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,icls-volume-2026-paper-0491,2026,2026,"interpret science as lived meaning -making. It contributes to the learning sciences by bridging embodiment,",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,icls-volume-2026-paper-0061,2026,2026,"● Outer layer: Learning Sciences ecology. Encompasses the social, cultural, and participatory contexts in",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,icls-volume-2026-paper-0029,2026,2026,"We gather literatures from the learning sciences and related fields on epistemic practices, emotion, and ideology",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,icls-volume-2026-paper-0031,2026,2026,Inter-University Design Workshop: plurality in design education. In Proceedings of the Conference,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,icls-volume-2026-paper-0032,2026,2026,Reinventing Measurement Models for the Learning Sciences:,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,cscl-volume-2026-paper-0072,2026,2026,of Youth Epistemic Agency and in a Computational Data Science Workshop. In Proceedings of the 19th,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,icls-volume-2026-paper-0045,2026,2026,analytic and empirical methods in the  learning sciences. While we position speculative interaction geography as,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,general-volume-2026-paper-034,2026,2026,"contexts (Anderson & Shattuck, 2012). Within the  Learning Sciences community, DBR has inspired related",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_38486,cscl-volume-2026-paper-0165,2026,2026,Engagement in the Makerspace. In Proceedings of the 18th International Conference of the Learning,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_38486,icls-volume-2026-paper-0491,2026,2026,"reasoning in science learning. Journal of the Learning Sciences, 28(2), 160-205.",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_38486,general-volume-2026-paper-062,2026,2026,"Information and Learning Sciences, 123(7/8), 500-525.",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_38486,icls-volume-2026-paper-0160,2026,2026,"principles, suggesting that agency and autonomy are emerging ethical aspects of AI that the learning sciences can",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_38486,icls-volume-2026-paper-0449,2026,2026,took a more traditional approach to writing and researching our conceptualization of learning within ISLS in this,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_38486,icls-volume-2026-paper-0111,2026,2026,"In short, if the learning sciences are to take seriously the theme of “partnering with purpose,” they must",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_38486,icls-volume-2026-paper-0159,2026,2026,Reflections on Hybrid History and Designs at ISLS Annual,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,cscl-volume-2026-paper-0165,2026,2026,"presented at the 19th International Conference of the Learning Sciences (ICLS), Helsinki, Finland.",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,general-volume-2026-paper-062,2026,2026,"to map historical pandemics during a pandemic. Information and Learning Sciences, 121(7/8), 533–547.",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,icls-volume-2026-paper-0491,2026,2026,Design in the learning sciences is never neutral; it encodes particular values and privileges some forms of,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,icls-volume-2026-paper-0280,2026,2026,to the growing body of work among the learning sciences by exploring how young people’s ecological and social,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,icls-volume-2026-paper-0234,2026,2026,programming performance. In Proceedings of the first international workshop on Computing education,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,icls-volume-2026-paper-0032,2026,2026,"(DBIR) are well established in the learning sciences, practical models that translate these ideas into short,",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,icls-volume-2026-paper-0361,2026,2026,"In the learning sciences, methodologies such as social design experiments (Gutiérrez & Jurow, 2016),",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,icls-volume-2026-paper-0159,2026,2026,and hybrid features at ISLS Annual Meetings. This process will continue during the symposium through breakout,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,icls-volume-2026-paper-0160,2026,2026,"design of some learning artifact. Unlike other design-oriented disciplines, co-design in the learning sciences has",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,icls-volume-2026-paper-0348,2026,2026,"Google, AI Literacy, and the Learning Sciences: Multiple Modes of",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,icls-volume-2026-paper-0111,2026,2026,"aspect of “partnering with purpose.” Collectively, we will consider the extent to which the learning sciences",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,general-volume-2026-paper-014,2026,2026,"learning with material tools. However, their submissions based on outcome-oriented research to ISLS conferences",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,icls-volume-2026-paper-0202,2026,2026,club: An innovative professional development model for AI education. In Proceedings of the 53rd ACM,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,icls-volume-2026-paper-0419,2026,2026,to trace the thematic evolution of the learning sciences across three decades of International,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,icls-volume-2026-paper-0355,2026,2026,"Leydens, J. A., Lucena, J., & Nieusma, D. (2014). What is design for social justice. Proceedings of the American",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_76766,cscl-volume-2026-paper-0020,2026,2026,levels: Insights from professional learning in a CS RPP collaboration. In Proceedings of the 52nd ACM,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026,cscl-volume-2026-paper-0165,2026,2026,dashboards: Where do we go from here? In Proceedings of the 9th International Conference on Learning,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_4227,cscl-volume-2026-paper-0165,2026,2026,"In Proceedings of the 17th International Conference of the Learning Sciences -ICLS 2023, pp. 577-584.",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_4227,cscl-volume-2026-paper-0026,2026,2026,orchestration load in co-located and online CSCL settings? The remainder of this paper is structured as follows.,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_4227,cscl-volume-2026-paper-0034,2026,2026,A Design Space for Dialogic Assessment in CSCL,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_4227,general-volume-2026-paper-027,2026,2026,the design space outlined here should be considered a starting point for collaborative refinement within the CSCL,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_4227,cscl-volume-2026-paper-0038,2026,2026,Extending CSCL Affordances for Multilingual Classrooms: Teacher,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_4227,cscl-volume-2026-paper-0059,2026,2026,Regulating Epistemic Emotions in CSCL: Comparing the Higher-,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_4227,cscl-volume-2026-paper-0086,2026,2026,"In CSCL environments, emotions are deeply situated within the socio-cognitive dynamics of collaborative inquiry",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_4227,icls-volume-2026-paper-0491,2026,2026,"follow, advancing both multimodal learning sciences and human–AI interaction design.",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_4227,cscl-volume-2026-paper-0115,2026,2026,working together in a STEM+C learning environment. Our analysis is guided by a social -constructivist CSCL,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_4227,icls-volume-2026-paper-0388,2026,2026,"pair dynamics in shared, co- located augmented reality narratives.  In Proceedings of the ACM",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_4227,cscl-volume-2026-paper-0091,2026,2026,Revisiting Wise and Schwarz’s Provocations for CSCL:,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_4227,icls-volume-2026-paper-0059,2026,2026,"through the design of its activities. These activities implement state of the art CSCL theory and practice, such as",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_4227,general-volume-2026-paper-062,2026,2026,"construction into political manipulation? Information and Learning Sciences , 124(7/8), 197 –220.",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_4227,cscl-volume-2026-paper-0093,2026,2026,"Towards a Robust Theory Toolbox for CSCL: Mechanisms, Models,",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_4227,icls-volume-2026-paper-0413,2026,2026,"how intergenerational participatio n shapes collaborative learning, and how CSCL might expand to include",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_31750,cscl-volume-2026-paper-0107,2026,2026,Dialogic Intelligence: Rethinking the pedagogical goal of CSCL in,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_31750,cscl-volume-2026-paper-0165,2026,2026,"R., & Brennan, K. (Eds.), Proceedings of the 17th International Conference of the Learning Sciences -",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_31750,cscl-volume-2026-paper-0124,2026,2026,Physiological Indicators of Teacher Stress in CSCL,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_cscl-2026.md_31750,icls-volume-2026-paper-0285,2026,2026,"literacy as a social practice, data literacy, AI literacy, CS education, and CSCL. Our current vision of TC includes",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,handle_1_11573,2026,2025,"every child know about AI? In Proceedings of the AAAI Conference on Artificial Intelligence (Vol. 33,",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,handle_1_11439,2026,2025,"2023, pp. 27-34). International Society of the Learning Sciences.",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,handle_1_11784,2026,2025,"Extensive research demonstrates that CSCL fosters learning gains, enhances critical thinking, and sustains",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,handle_1_11481,2026,2025,We welcome feedback from the learning sciences community on how topological approaches might,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,handle_1_11938,2026,2025,Ground in CSCL: Evidence from a Global Survey .,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,handle_1_11263,2026,2025,"the roles of CSCL in advancing AI-supported assessment.  With the rapid rise of generative AI, higher education",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,handle_1_11482,2026,2025,will engage learning sciences colleagues in deeper theorizing around these issues.,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,handle_1_11619,2026,2025,inquiry. I also aim to collaborate with international researchers in dialogic teaching and learning sciences to,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,handle_1_11664,2026,2025,"scholarship that helps the Learning Sciences reckon with its historical inheritances while designing toward freer,",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,handle_1_11711,2026,2025,College Education: The Case for Learning Sciences Collaboration.  arXiv preprint arXiv:2508.00668 .,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,handle_1_11487,2026,2025,Makes a Competent Outsider?. In Proceedings of the 19th International Conference of the Learning,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_isls-2026,handle_1_11830,2026,2025,Perceptions of Journaling in Cooperative Inquiry Co-Design. In  Proceedings of the 19th International,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,handle_1_11439,2026,2025,1770-1773. International Society of the Learning Sciences.,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,handle_1_11481,2026,2025,"literacy aligned with the Learning Sciences’ commitment to contextualized, justice -oriented education (Lee &",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,handle_1_11573,2026,2025,every child know about AI? In Proceedings of the AAAI Conference on Artificial Intelligence (AAAI-,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,handle_1_11621,2026,2025,"Greeno, J. (2005). Learning in activity. In Sawyer, R. K., (Ed.), The Cambridge handbook of the learning sciences.",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,handle_1_11824,2026,2025,environmental learning: A design tool. In Proceedings of the 19th International Conference of the,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026,handle_1_11449,2026,2025,research-practice partnerships and why CSCL should not give up on large -scale educational change.,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_38486,handle_1_11439,2026,2025,"Sciences-ICLS 2024, pp. 1251-1254. International Society of the Learning Sciences.",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_38486,handle_1_11769,2026,2025,Mechanistic Reasoning about Natural Selection. Proceedings of the 19th International Conference of the,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_38486,handle_1_11621,2026,2025,"culturally shaped activity. Journal of the Learning Sciences, 14(1), 3–40.",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_38486,handle_1_11573,2026,2025,should every child know about AI?. In Proceedings of the AAAI conference on artificial intelligence,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_38486,handle_1_11672,2026,2025,"recently, learning sciences have investigated learning about machine learning and neural networks (Barnett et al.,",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_38486,handle_1_11772,2026,2025,learning sciences. Prior work in justice -centered computing education has argued that computing learning,extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_38486,handle_1_11480,2026,2025,"postcolonial possibilities” (Curnow, et al., 2025) all represent parts of the learning sciences community invested",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
proc_icls-2026.md_38486,handle_1_11481,2026,2025,"pushing the learning sciences in new directions, and developing our understanding of the present and future of the",extracted_from_md_references,Extracted via 0-cost reference block parsing from proceedings markdown; 2016-2022 proceedings reference extraction can be generated via Tier 3 PDF reference parsing.
